STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
24,005,491600,3061,39.39546,-76.559523
24,005,491701,4180,39.404752,-76.54259
24,005,491900,1831,39.394506,-76.534185
24,005,492001,1443,39.389817,-76.5554
24,005,492002,3945,39.384845,-76.548798
24,005,492101,3493,39.383706,-76.540522
24,005,492102,2241,39.374656,-76.551719
24,005,492200,4803,39.404282,-76.523179
24,005,492300,3955,39.326709,-76.45383
24,005,492401,3623,39.390318,-76.820923
24,005,492402,6380,39.403069,-76.80807
24,005,492500,3807,39.257897,-76.710748
24,005,492600,3506,39.413863,-76.530242
24,005,980000,0,39.218668,-76.481462
24,005,980100,0,39.235844,-76.628283
24,005,980200,0,39.229026,-76.678225
24,009,860101,3209,38.728077999999996,-76.673111
24,009,860102,2903,38.738822,-76.642782
24,009,860200,6083,38.68746,-76.634982
24,009,860300,3932,38.667775,-76.577948
24,009,860401,9732,38.702101,-76.545963
24,009,860402,3558,38.67107,-76.542759
24,009,860501,5938,38.599597,-76.564217
24,009,860502,2936,38.587571,-76.524459
24,009,860600,7052,38.620703,-76.63255
24,009,860701,2695,38.546602,-76.618167
24,009,860702,2974,38.550544,-76.575927
24,009,860703,3489,38.505231,-76.613024
24,009,860801,6527,38.456579,-76.545271
24,009,860802,4863,38.476708,-76.495386
24,009,860900,7693,38.377613,-76.462475
24,009,861001,1304,38.379122,-76.406705
24,009,861003,6615,38.346919,-76.425411
24,009,861004,7234,38.364416,-76.40991
24,009,990100,0,38.520929,-76.443469
24,011,955000,3348,39.083432,-75.777039
24,011,955100,5619,38.974757,-75.807157
24,011,955201,3773,38.954158,-75.879753
24,011,955202,2110,38.882895,-75.902467
24,011,955301,4111,38.870766,-75.801505
24,011,955302,3128,38.883508,-75.827969
24,011,955400,2097,38.786253,-75.835866
24,011,955500,4044,38.734313,-75.928958
24,011,955600,4836,38.699239,-75.773085
24,013,501001,4112,39.660334,-77.160187
24,013,501002,5337,39.660714,-77.176277
24,013,502000,4148,39.609946,-77.098795
24,013,503000,5505,39.685485,-77.027998
24,013,504100,5120,39.528198,-76.896862
24,013,504201,6198,39.509216,-76.927689
24,013,504202,6169,39.48144,-76.951362
24,013,505101,4347,39.420021,-76.955474
24,013,505102,5156,39.411692,-76.920052
24,013,505203,3723,39.392418,-76.947933
24,013,505205,3050,39.386343,-76.932265
24,013,505206,3481,39.382216,-76.920973
24,013,505207,3683,39.400608,-76.963711
24,013,505208,5277,39.372449,-76.97725
24,013,506101,4679,39.674645,-76.90997
24,013,506102,3880,39.63613,-76.905203
24,013,506200,5444,39.688117,-76.857635
24,013,507500,4297,39.599796,-77.014972
24,013,507601,5027,39.595956,-76.986815000000007
24,013,507602,4348,39.576926,-76.96977
24,013,507702,3925,39.563226,-77.013282
24,013,507703,2875,39.567357,-77.035764
24,013,507704,6165,39.581464,-77.023971
24,013,507801,5652,39.559273,-76.996607
24,013,507802,4411,39.542021,-76.989545
24,013,508101,4760,39.627555,-76.842596
24,013,508102,2955,39.597393,-76.841173
24,013,508200,7133,39.592404,-76.879438
24,013,509001,4470,39.47299,-77.065712
24,013,509002,2908,39.438129000000004,-77.093263
24,013,510000,1422,39.610095,-77.234956
24,013,511000,3671,39.53368,-77.095696
24,013,512000,1551,39.570732,-77.172292
24,013,513001,4701,39.387705,-77.147295
24,013,513002,5277,39.379571,-77.123994
24,013,514100,3651,39.441891,-76.985372
24,013,514201,5139,39.402825,-77.0434
24,013,514202,3487,39.390843,-76.999335
24,015,030100,5149,39.420504,-75.908799
24,015,030200,5240,39.522628,-75.834269
24,015,030400,4901,39.608362,-75.834732
24,015,030501,4209,39.659669,-75.87226
24,015,030503,5751,39.62904,-75.835968
24,015,030505,3918,39.587498,-75.820211
24,015,030506,8223,39.613224,-75.801874
24,015,030601,3818,39.693351,-75.8783
24,015,030602,4792,39.677739,-75.799339
24,015,030700,5005,39.685709,-75.967163
24,015,030903,5076,39.599885,-75.923162
24,015,030904,6814,39.543202,-75.918098
24,015,030905,2859,39.640491,-75.99231
24,015,030906,8572,39.60321,-75.962661
24,015,031201,6334,39.626666,-76.101478
24,015,031202,5570,39.570328,-76.066901
24,015,031301,3477,39.656277,-76.070753
24,015,031302,7236,39.697349,-76.071376
24,015,031400,4164,39.69395,-76.157654
24,017,850101,5440,38.64127,-77.078428
24,017,850102,2583,38.610019,-77.085304
24,017,850201,787,38.593011,-77.176345
24,017,850202,4749,38.599354,-77.151923
24,017,850300,1986,38.553563,-77.155
24,017,850400,3895,38.460963,-77.200348
24,017,850500,2793,38.493216,-77.079824
24,017,850600,4743,38.558674,-77.044166
24,017,850706,4811,38.638109,-76.937128
24,017,850708,5282,38.649288,-76.937334
24,017,850709,6676,38.64475,-76.903069
24,017,850710,4979,38.625596,-76.957191
24,017,850711,4900,38.625665,-76.935726
24,017,850712,5739,38.614662,-77.028795
24,017,850713,6635,38.626472,-76.991703
24,017,850801,4714,38.650303,-76.860062
24,017,850802,4118,38.628204,-76.873924
24,017,850901,5830,38.609638,-76.900194
24,017,850902,5678,38.597818,-76.921076
24,017,850904,5367,38.578473,-76.905738
24,017,850905,4425,38.602575,-76.884902
24,017,850906,4873,38.597731,-76.90069
24,017,851001,3279,38.53448,-76.993818
24,017,851002,9244,38.532391,-76.960536
24,017,851100,2741,38.474267,-76.985449
24,017,851200,4886,38.320714,-76.910165
24,017,851301,4711,38.455266,-76.873969
24,017,851302,4046,38.518198,-76.831905
24,017,851400,8176,38.56159,-76.763326
24,017,851500,8465,38.609758,-76.948486
24,017,990000,0,38.375937,-77.084185
24,019,970100,2821,38.583335,-75.777061
24,019,970200,5745,38.647445,-75.869185
24,019,970300,4715,38.580588,-75.954914
24,019,970400,3305,38.570684,-76.071868
24,019,970500,4001,38.570144,-76.086222
24,019,970600,4702,38.555925,-76.082143
24,019,970702,3987,38.571937,-76.124719
24,019,970804,1891,38.4588,-76.202867
24,019,970900,1451,38.400306,-76.041307
24,019,990000,0,38.360807,-76.255215
24,021,740200,4735,39.487813,-77.350733
24,021,750100,1278,39.420844,-77.409614
24,021,750200,1640,39.416459,-77.409125
24,021,750300,1734,39.410909,-77.415699
24,021,750503,6574,39.425303,-77.458899
24,021,750504,5323,39.423722,-77.44114
24,021,750505,6824,39.411407,-77.44566
24,021,750506,3991,39.411952,-77.461222
24,021,750600,2677,39.420404,-77.421186
24,021,750701,5491,39.456852,-77.409158
24,021,750702,3262,39.433417,-77.420213
24,021,750801,2985,39.428317,-77.409825
24,021,750802,4019,39.455972,-77.384878
24,021,750803,6122,39.436981,-77.386749
24,021,751001,954,39.383346,-77.439435
24,021,751002,5329,39.383036,-77.43006
24,021,751003,5326,39.388967,-77.419058
24,021,751004,4102,39.389129,-77.453733
24,021,751201,4757,39.455047,-77.427834
24,021,751202,6152,39.449651,-77.446994
24,021,751203,2028,39.442807,-77.471026
24,021,751301,3418,39.482253,-77.447631
24,021,751302,3060,39.530423,-77.421443
24,021,751600,3027,39.54202,-77.22429
24,021,751701,2394,39.457902,-77.304973
24,021,751702,3567,39.478521,-77.212253
24,021,751801,4201,39.40035,-77.269442
24,021,751802,3774,39.415324,-77.195134
24,021,751901,4272,39.404684,-77.297013
24,021,751902,5795,39.405796,-77.342952
24,021,751903,6362,39.356973000000004,-77.222799
24,021,751904,3146,39.383485,-77.339675
24,021,752001,5139,39.376837,-77.172415
24,021,752101,3173,39.315096,-77.276021
24,021,752102,4397,39.334001,-77.267882
24,021,752201,2121,39.306328,-77.385716
24,021,752202,3853,39.336304,-77.341458
24,021,752204,5855,39.340676,-77.347428
24,021,752301,4168,39.370559,-77.436016
24,021,752302,3983,39.311347,-77.457297
24,021,752303,2640,39.305766,-77.509454
24,021,752501,4929,39.384542,-77.561244
24,021,752502,2487,39.334916,-77.544052
24,021,752601,3971,39.443168,-77.540533
24,021,752602,2561,39.405001,-77.50957
24,021,752603,3839,39.429855,-77.514066
24,021,752801,2214,39.574076,-77.529525
24,021,752802,3550,39.524789,-77.572957
24,021,752900,3066,39.665466,-77.447843
24,021,753001,4564,39.613556,-77.409543
24,021,753002,2744,39.626478,-77.399587
24,021,765100,3710,39.407325,-77.424891
24,021,766800,5131,39.699638,-77.338393
24,021,767500,2849,39.633256,-77.330989
24,021,767600,3200,39.539322,-77.313066
24,021,770700,3608,39.475035,-77.547684
24,021,772200,1598,39.410426,-77.402277
24,021,773500,4121,39.474209,-77.348363
24,021,775302,3900,39.328091,-77.628567
24,021,775400,3892,39.316712,-77.620316
24,021,775600,3803,39.421237,-77.315945
24,023,000100,4003,39.646415,-79.377032
24,023,000200,3937,39.671445,-79.181056
24,023,000300,2857,39.666322,-79.033492
24,023,000400,3337,39.438548,-79.216295
24,023,000500,4051,39.513113,-79.319954
24,023,000600,6186,39.418611,-79.42309
24,023,000700,5726,39.375296,-79.378426
24,025,301102,3579,39.50153,-76.280639
24,025,301105,3985,39.482684,-76.306643
24,025,301106,4215,39.50251,-76.317448
24,025,301107,3174,39.468216,-76.302673
24,025,301108,3435,39.482743,-76.293317
24,025,301201,1956,39.459798,-76.356742
24,025,301202,6685,39.486935,-76.330152
24,025,301204,4299,39.468254,-76.326593
24,025,301205,4202,39.47122,-76.317525
24,025,301301,4592,39.435104,-76.344716
24,025,301302,7424,39.428624,-76.319735
24,025,301401,7512,39.414756,-76.358486
24,025,301402,2398,39.401714,-76.339326
24,025,301601,6420,39.421037,-76.311444
24,025,301602,7899,39.429734,-76.278998
24,025,301702,7884,39.47165,-76.245617
24,025,301703,4804,39.46156,-76.275159
24,025,301704,3599,39.472464,-76.250711
24,025,302100,2137,39.590419,-76.184179
24,025,302200,2535,39.552774,-76.183759
24,025,302400,2663,39.471677,-76.211109
24,025,302801,3687,39.527381,-76.164196
24,025,302802,4551,39.516185,-76.182745
24,025,302901,2628,39.511718,-76.153934
24,025,302902,4549,39.503332,-76.171384
24,025,303101,5976,39.56991,-76.315814
24,025,303102,2783,39.573875,-76.263306
24,025,303201,5859,39.591317,-76.372997
24,025,303203,3479,39.567701,-76.369952
24,025,303204,4584,39.562862,-76.382352
24,025,303205,1482,39.554104,-76.411107
24,025,303206,3474,39.549843,-76.378079
