IND,state,led_code,percent_change_state_imputed
7680,24,56,-0.0441087217636027
7770,24,56,0.02688244615870594
7790,24,56,3.950495067639448e-4
7860,24,61,-0.0893523986698378
7970,24,62,-0.05752144964194683
7980,24,62,-0.06369051129437175
7990,24,62,-0.00890980457934254
8070,24,62,-0.07207315668762315
8090,24,62,-0.05091606236420343
8170,24,62,-0.056116512840489685
8192,24,62,-0.08729579517488384
8270,24,62,-0.10717673899833857
8370,24,62,-0.07912650890495854
8380,24,62,-0.04614723089904271
8390,24,62,-0.15332448533535115
8470,24,62,-0.20441922235155618
8561,24,71,-0.5504533210338098
8562,24,71,-0.49636516543154563
8563,24,71,-0.522394063543299
8564,24,71,-0.39678411785004364
8570,24,71,-0.2971149300649447
8580,24,71,-0.5043415530525097
8660,24,72,-0.27204185974036477
8690,24,72,-0.34057069047694777
8780,24,81,0.02524652359456947
8790,24,81,-0.013994979073561065
8870,24,81,-0.010912247072930925
8891,24,81,0.014727304553828868
8970,24,81,-0.13478652590854245
8980,24,81,-0.13478652590854245
9070,24,81,-0.17443522078578877
9080,24,81,0.028773673377416764
9090,24,81,-0.19598659357586645
9180,24,81,0.03453368654897904
9670,24,92,-0.044221198533825
9680,24,92,-0.044221198533825
9690,24,92,-0.044221198533825
9770,24,92,-0.044221198533825
9780,24,92,-0.044221198533825
9790,24,92,-0.044221198533825
9870,24,92,-0.044221198533825
0170,24,11,NA
0180,24,11,NA
0190,24,11,NA
0280,24,11,NA
0290,24,11,NA
0590,24,22,NA
9920,24,NA,NA
0690,24,22,-4.992817702037059
1070,24,31,0.00879792925301752
1270,24,31,-0.03650221320759373
1280,24,31,-0.035652458872709486
1290,24,31,-3.248477737682856
1770,24,31,-0.12301098007246626
1790,24,31,-0.12301098007246626
1890,24,32,-9.069050945498992e-4
2290,24,32,-0.03831614094460061
2570,24,32,-0.038728570200266176
2590,24,32,-0.038728570200266176
2670,24,33,-0.07749478001029188
2870,24,33,-0.04367450169592395
2980,24,33,-0.0786470833892334
3080,24,33,-0.11190015077784021
3291,24,33,-0.041310050212278814
3370,24,33,-0.017616529812891996
3390,24,33,-0.017616529812891996
3490,24,33,-0.06823841892975088
3570,24,33,-0.0871289000727224
3580,24,33,-0.05867705874808856
3875,24,32,-0.0563738858722022
3980,24,33,-0.07946531584166473
3990,24,33,-0.12301098007246626
4290,24,42,-0.06652306233016049
4380,24,42,-0.030469169689739947
4580,24,42,-0.04324964611310126
4585,24,42,-0.06041254260297163
4870,24,44,0.09099947673132253
5080,24,44,-0.1924938460474764
5275,24,45,-0.12303228655315915
6180,24,48,-0.25022570538927724
6480,24,51,-0.07737793945901514
6690,24,51,-0.014362830206849298
6870,24,52,-0.020293575343178435
6880,24,52,-0.020293575343178435
6890,24,52,0.0036482921267941533
7071,24,53,-0.02998414971859841
7181,24,53,-0.13746252576934312
7190,24,53,-0.11136311699837177
7490,24,54,-0.07841729147941336
7690,24,56,-0.06182412767310591
7780,24,56,-0.05462116719979321
7870,24,61,-0.05846966543538903
7880,24,61,-0.1455100016122158
7890,24,61,-0.18457855255558028
8080,24,62,-0.10145312738199169
8180,24,62,-0.05649410269901282
8191,24,62,-0.019927194248743462
8290,24,62,-0.053616956470484894
8590,24,71,-0.22561234184541215
8670,24,72,-0.03942783135776987
8680,24,72,-0.17820306557223756
8770,24,81,-0.053554224737412635
8990,24,81,-0.14642958078300153
9160,24,81,0.016961886940824462
9170,24,81,-0.1920667860172176
9190,24,81,0.004517165635236764
9370,24,92,-0.04008539459619619
9380,24,92,-0.04008539459619619
9390,24,92,-0.04008539459619619
9470,24,92,-0.04008539459619619
9480,24,92,-0.04008539459619619
9490,24,92,-0.04008539459619619
9570,24,92,-0.04008539459619619
9590,24,92,-0.04008539459619619
0480,24,21,-0.1012648339767006
2990,24,33,-0.07358601638494056
4590,24,42,-0.05047100362959807
5790,24,44,-0.025938015279995858
9290,24,81,-0.07681906314217057
